price,bed,bath,acre_lot,street,city,state,zip_code,house_size
150000.0,7.0,4.0,0.49,1946210.0,Arecibo,Puerto Rico,612.0,800.0
79000.0,6.0,3.0,0.09,1855343.0,Arecibo,Puerto Rico,612.0,2472.0
65000.0,3.0,1.0,0.09,1856972.0,Arecibo,Puerto Rico,612.0,1044.0
179000.0,5.0,3.0,0.08,1855451.0,Arecibo,Puerto Rico,612.0,2200.0
145000.0,3.0,2.0,0.86,1427895.0,Arecibo,Puerto Rico,612.0,3500.0
79000.0,3.0,1.0,0.13,821104.0,Arecibo,Puerto Rico,612.0,1262.0
360000.0,5.0,2.0,0.42,1567105.0,Arecibo,Puerto Rico,612.0,6000.0
134900.0,,,0.25,1840769.0,Arecibo,Puerto Rico,612.0,1856.0
94600.0,3.0,1.0,0.08,1992381.0,Arecibo,Puerto Rico,612.0,1009.0
239000.0,7.0,3.0,0.31,1551669.0,Arecibo,Puerto Rico,612.0,2715.0
279000.0,3.0,3.0,0.19,1902853.0,Arecibo,Puerto Rico,612.0,2872.0
100000.0,3.0,1.0,4.89,1900756.0,Arecibo,Puerto Rico,612.0,1028.0
168000.0,4.0,3.0,0.25,1902837.0,Arecibo,Puerto Rico,612.0,1600.0
150000.0,3.0,2.0,0.29,1509489.0,Arecibo,Puerto Rico,612.0,1604.0
140000.0,8.0,2.0,0.13,918510.0,Arecibo,Puerto Rico,612.0,1500.0
70000.0,2.0,1.0,0.1,1855345.0,Arecibo,Puerto Rico,612.0,680.0
80000.0,3.0,1.0,0.06,982996.0,Arecibo,Puerto Rico,612.0,750.0
135000.0,5.0,2.0,0.13,1437193.0,Arecibo,Puerto Rico,612.0,1500.0
215000.0,3.0,3.0,0.24,1449539.0,Arecibo,Puerto Rico,612.0,2183.0
138000.0,3.0,2.0,0.25,199310.0,Arecibo,Puerto Rico,612.0,1000.0
289000.0,5.0,4.0,0.2,1856979.0,Arecibo,Puerto Rico,612.0,2832.0
132000.0,3.0,2.0,0.25,1725570.0,Arecibo,Puerto Rico,612.0,1000.0
197000.0,4.0,4.0,0.14,1856909.0,Arecibo,Puerto Rico,612.0,1500.0
185000.0,5.0,3.0,0.07,869853.0,Manati,Puerto Rico,674.0,1700.0
200000.0,6.0,4.0,0.37,1855347.0,Hatillo,Puerto Rico,659.0,3400.0
210000.0,3.0,2.0,0.25,913609.0,Morovis,Puerto Rico,687.0,2500.0
105000.0,3.0,1.0,0.08,1869494.0,Manati,Puerto Rico,674.0,921.0
113600.0,3.0,1.0,0.07,1837500.0,Manati,Puerto Rico,674.0,800.0
174900.0,3.0,2.0,0.08,1985068.0,Barceloneta,Puerto Rico,617.0,1195.0
3000000.0,,6.0,1.38,1836183.0,Quebradillas,Puerto Rico,678.0,3000.0
134000.0,3.0,2.0,0.07,733378.0,Vega Baja,Puerto Rico,693.0,895.0
245000.0,4.0,2.0,0.25,867517.0,Vega Baja,Puerto Rico,693.0,2038.0
161000.0,4.0,2.0,0.09,435967.0,Caguas,Puerto Rico,727.0,1100.0
225000.0,3.0,2.0,0.37,1881195.0,Vega Baja,Puerto Rico,693.0,1217.0
290000.0,4.0,2.0,0.22,1868675.0,Manati,Puerto Rico,674.0,2236.0
375000.0,4.0,3.0,0.21,1854739.0,Barceloneta,Puerto Rico,617.0,2961.0
425000.0,3.0,2.0,0.21,1856906.0,Camuy,Puerto Rico,627.0,2400.0
1100000.0,5.0,3.0,0.56,1120998.0,Quebradillas,Puerto Rico,678.0,3000.0
418000.0,5.0,3.0,0.22,2402.0,Hatillo,Puerto Rico,659.0,3650.0
365000.0,5.0,3.0,1.46,1902830.0,Morovis,Puerto Rico,687.0,2366.0
95000.0,5.0,2.0,0.16,151105.0,Quebradillas,Puerto Rico,95000.0,1757.0
49900.0,3.0,2.0,0.27,1861976.0,Barceloneta,Puerto Rico,617.0,1150.0
